dataset_id,url,target_path,access_type,licence,max_bytes,source_role
strassen_nrw_traffic_values,https://www.opengeodata.nrw.de/produkte/transport_verkehr/strassennetz/Verkehrswerte_EPSG25832_Shape.zip,data/raw/nrw_infrastructure/transport/Verkehrswerte_EPSG25832_Shape.zip,public,Data Licence Germany Attribution 2.0,25000000,required_input
strassen_nrw_counting_stations,https://www.opengeodata.nrw.de/produkte/transport_verkehr/strassennetz/Zaehlstellen_EPSG25832_Shape.zip,data/raw/nrw_infrastructure/transport/Zaehlstellen_EPSG25832_Shape.zip,public,Data Licence Germany Attribution 2.0,5000000,contextual_unused
strassen_nrw_road_sections,https://www.opengeodata.nrw.de/produkte/transport_verkehr/strassennetz/AbschnitteAeste_EPSG25832_Shape.zip,data/raw/nrw_infrastructure/transport/AbschnitteAeste_EPSG25832_Shape.zip,public,Data Licence Germany Attribution 2.0,30000000,contextual_unused
energieatlas_nrw_renewable_sites,https://www.opengeodata.nrw.de/produkte/umwelt_klima/energie/ee/Standorte-Strom-EE-NRW_EPSG25832_GeoPackage.zip,data/raw/nrw_infrastructure/renewables/Standorte-Strom-EE-NRW_EPSG25832_GeoPackage.zip,public,Data Licence Germany Zero 2.0,20000000,required_input
energieatlas_nrw_admin_electricity,https://www.opengeodata.nrw.de/produkte/umwelt_klima/energie/ee/NW-Strom-VWE-Aggregiert_EPSG25832_Excel.xlsx,data/raw/nrw_infrastructure/renewables/NW-Strom-VWE-Aggregiert_EPSG25832_Excel.xlsx,public,Data Licence Germany Zero 2.0,30000000,required_input
energieatlas_nrw_renewable_potential,https://www.opengeodata.nrw.de/produkte/umwelt_klima/energie/ee/EE-Potenziale-Energieatlas-NRW_EPSG25832_Excel.xlsx,data/raw/nrw_infrastructure/renewables/EE-Potenziale-Energieatlas-NRW_EPSG25832_Excel.xlsx,public,Data Licence Germany Zero 2.0,5000000,contextual_unused
geofabrik_nrw_osm_power,https://download.geofabrik.de/europe/germany/nordrhein-westfalen-latest.osm.pbf,data/raw/nrw_infrastructure/grid/nordrhein-westfalen-latest.osm.pbf,public_large,OpenStreetMap ODbL 1.0,1200000000,required_input
